Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP
"Klebsiella pneumoniae","Bacteria;Proteobacteria;Gammaproteobacteria","11","SAMN04448229","PRJNA296771","GCA_001709275.1","Complete",5.8056,56.7804,"chromosome:NZ_CP016923.1/CP016923.1; plasmid unnamed1:NZ_CP016922.1/CP016919.1; plasmid unnamed1:NZ_CP016919.1/CP016919.1; plasmid unnamed2:NZ_CP016921.1/CP016920.1; plasmid unnamed2:NZ_CP016920.1/CP016920.1",,5,5459,"2016-08-23T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/709/275/GCA_001709275.1_ASM170927v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/709/275/GCF_001709275.1_ASM170927v1"
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","SLK172","SAMN05853574","PRJNA344951","GCA_001936315.1","Complete",5.77366,50.4392,"chromosome:NZ_CP017631.1/CP017631.1; plasmid pSLK172-1:NZ_CP017632.1/CP017632.1; plasmid pSLK172-2:NZ_CP017633.1/CP017633.1",,3,5313,"2017-01-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/936/315/GCA_001936315.1_ASM193631v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/936/315/GCF_001936315.1_ASM193631v1"
"Klebsiella pneumoniae subsp. pneumoniae 1158","Bacteria;Proteobacteria;Gammaproteobacteria","1158","SAMN03097203","PRJNA217288","GCA_000814805.1","Complete",5.34104,57.2,"chromosome:NZ_CP006722.1/CP006722.1",,1,5002,"2015-01-06T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/814/805/GCA_000814805.1_ASM81480v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/814/805/GCF_000814805.1_ASM81480v1"
"Klebsiella pneumoniae","Bacteria;Proteobacteria;Gammaproteobacteria","50595","SAMN14421540","PRJNA613905","GCA_011769805.1","Complete",5.78859,57.0899,"chromosome:NZ_CP050371.1/CP050371.1; plasmid p50595_ERM:NZ_CP050372.1/CP050372.1; plasmid p50595_IncFII:NZ_CP050373.1/CP050373.1; plasmid p50595_NDM_1:NZ_CP050374.1/CP050374.1; plasmid p50595_OXA_181:NZ_CP050375.1/CP050375.1",,5,5674,"2020-03-30T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/769/805/GCA_011769805.1_ASM1176980v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/769/805/GCF_011769805.1_ASM1176980v1"
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","ECONIH4","SAMN03455998","PRJNA430813","GCA_002934895.1","Complete",5.789,50.8366,"chromosome:NZ_CP026399.1/CP026399.1; plasmid pECO-5e72:NZ_CP026400.1/CP026400.1; plasmid pECO-6357:NZ_CP026404.1/CP026404.1; plasmid pECO-816c:NZ_CP026403.1/CP026403.1; plasmid pECO-c85f:NZ_CP026405.1/CP026405.1; plasmid pECO-e618:NZ_CP026402.1/CP026402.1; plasmid pKPC-b33e:NZ_CP026401.1/CP026401.1",,7,5398,"2018-02-04T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/934/895/GCA_002934895.1_ASM293489v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/934/895/GCF_002934895.1_ASM293489v1"
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","HUSEC2011","SAMEA3865278","PRJEA76335","GCA_000967155.1","Complete",5.44334,50.6352,"chromosome I:NZ_HF572917.1/HF572917.2; plasmid II:NC_022742.1/HE610900.2; plasmid III:NC_022743.1/HE610901.2; plasmid IV:NC_022741.1/HE610902.1",,4,4981,"2015-01-07T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/967/155/GCA_000967155.1_HUSEC2011CHR1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/967/155/GCF_000967155.2_HUSEC2011CHR1"
"Klebsiella pneumoniae","Bacteria;Proteobacteria;Gammaproteobacteria","1050","SAMN07638733","PRJNA407116","GCA_003443755.1","Complete",5.97763,56.8064,"chromosome:NZ_CP023416.1/CP023416.1; plasmid pKp1050-1:NZ_CP023417.1/CP023417.1; plasmid pKp1050-2:NZ_CP023418.1/CP023418.1; plasmid pKp1050-3:NZ_CP023419.1/CP023419.1; plasmid pKp1050-4:NZ_CP023420.1/CP023420.1; plasmid unnamed:NZ_CP023421.1/CP023421.1",,6,5568,"2018-09-04T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/443/755/GCA_003443755.1_ASM344375v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/443/755/GCF_003443755.1_ASM344375v1"
"Klebsiella pneumoniae","Bacteria;Proteobacteria;Gammaproteobacteria","INF042","SAMEA3357010","PRJNA351909","GCA_002752995.1","Complete",5.51945,57.2545,"chromosome:NZ_CP024542.1/CP024542.1; plasmid unnamed1:NZ_CP024543.1/CP024543.1; plasmid unnamed2:NZ_CP024544.1/CP024544.1",,3,5163,"2017-11-06T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/752/995/GCA_002752995.1_ASM275299v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/752/995/GCF_002752995.1_ASM275299v1"
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","FDAARGOS_403","SAMN07312447","PRJNA231221","GCA_002393365.1","Complete",5.47541,50.6154,"chromosome:NZ_CP023535.1/CP023535.1; plasmid unnamed1:NZ_CP023534.1/CP023534.1; plasmid unnamed2:NZ_CP023533.1/CP023533.1; plasmid unnamed3:NZ_CP023532.1/CP023532.1",,4,5003,"2017-09-28T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/393/365/GCA_002393365.1_ASM239336v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/393/365/GCF_002393365.1_ASM239336v1"
"Escherichia coli O104:H4","Bacteria;Proteobacteria;Gammaproteobacteria","FDAARGOS_349","SAMN06173362","PRJNA231221","GCA_002983645.1","Complete",5.50115,50.6249,"chromosome:NZ_CP027394.1/CP027394.1; plasmid unnamed1:NZ_CP027395.1/CP027395.1; plasmid unnamed2:NZ_CP027392.1/CP027392.1; plasmid unnamed3:NZ_CP027396.1/CP027396.1; plasmid unnamed4:NZ_CP027393.1/CP027393.1",,5,5107,"2018-03-09T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/983/645/GCA_002983645.1_ASM298364v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/983/645/GCF_002983645.1_ASM298364v1"
"Klebsiella pneumoniae","Bacteria;Proteobacteria;Gammaproteobacteria","INF059","SAMEA3357043","PRJNA351909","GCA_002753355.1","Complete",5.51945,57.2545,"chromosome:NZ_CP024545.1/CP024545.1; plasmid unnamed1:NZ_CP024546.1/CP024546.1; plasmid unnamed2:NZ_CP024547.1/CP024547.1",,3,5162,"2017-11-06T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/753/355/GCA_002753355.1_ASM275335v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/753/355/GCF_002753355.1_ASM275335v1"
"Klebsiella pneumoniae","Bacteria;Proteobacteria;Gammaproteobacteria","Kp8701","SAMN14247787","PRJNA609348","GCA_011068365.1","Complete",5.56185,57.2942,"chromosome:NZ_CP049604.1/CP049604.1; plasmid unnamed:NZ_CP049605.1/CP049605.1",,2,5319,"2020-03-09T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/068/365/GCA_011068365.1_ASM1106836v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/068/365/GCF_011068365.1_ASM1106836v1"
"Escherichia coli O104:H4","Bacteria;Proteobacteria;Gammaproteobacteria","FWSEC0009","SAMN08768110","PRJNA287560","GCA_005014075.1","Complete",5.443,50.6351,"chromosome:NZ_CP031902.1/CP031902.1; plasmid unnamed18:NZ_CP031903.1/CP031903.1; plasmid unnamed19:NZ_CP031904.1/CP031904.1; plasmid unnamed20:NZ_CP031905.1/CP031905.1",,4,4978,"2019-05-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/014/075/GCA_005014075.1_ASM501407v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/014/075/GCF_005014075.1_ASM501407v1"
"Escherichia coli O104:H4 str. 2011C-3493","Bacteria;Proteobacteria;Gammaproteobacteria","2011C-3493","SAMN01831188","PRJNA81095","GCA_000299455.1","Complete",5.43741,50.6346,"chromosome:NC_018658.1/CP003289.1; plasmid pAA-EA11:NC_018666.1/CP003291.1; plasmid pESBL-EA11:NC_018659.1/CP003290.1; plasmid pG-EA11:NC_018660.1/CP003292.1",,4,4984,"2012-09-27T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/299/455/GCA_000299455.1_ASM29945v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/299/455/GCF_000299455.1_ASM29945v1"
"Klebsiella pneumoniae","Bacteria;Proteobacteria;Gammaproteobacteria","Kpn555","SAMN03455976","PRJNA279656","GCA_001663455.1","Complete",5.73034,57.0043,"chromosome:NZ_CP015130.1/CP015130.1; plasmid pKPN-7c3:NZ_CP015131.1/CP015131.1; plasmid pKPN-d6b:NZ_CP015133.1/CP015133.1; plasmid pKPN-d90:NZ_CP015132.1/CP015132.1",,4,5420,"2016-06-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/663/455/GCA_001663455.1_ASM166345v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/663/455/GCF_001663455.1_ASM166345v1"
"Klebsiella pneumoniae","Bacteria;Proteobacteria;Gammaproteobacteria","39428","SAMN14973061","PRJNA633552","GCA_013374975.1","Complete",5.71997,57.0481,"chromosome:NZ_CP056029.1/CP056029.1; plasmid pKPN39428.1:NZ_CP056025.1/CP056025.1; plasmid pKPN39428.2:NZ_CP056026.1/CP056026.1; plasmid pKPN39428.3:NZ_CP056027.1/CP056027.1; plasmid pKPN39428.4:NZ_CP056028.1/CP056028.1",,5,5467,"2020-06-28T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/374/975/GCA_013374975.1_ASM1337497v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/374/975/GCF_013374975.1_ASM1337497v1"
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","RM9088","SAMN12405405","PRJNA557687","GCA_008065435.1","Complete",5.5244,50.6266,"chromosome:NZ_CP042298.1/CP042298.1; plasmid p1RM9088:NZ_CP042296.1/CP042296.1; plasmid p2RM9088:NZ_CP042297.1/CP042297.1",,3,5058,"2019-08-22T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/065/435/GCA_008065435.1_ASM806543v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/065/435/GCF_008065435.1_ASM806543v1"
"Klebsiella pneumoniae","Bacteria;Proteobacteria;Gammaproteobacteria","19051","SAMN07187263","PRJNA388820","GCA_002209405.1","Complete",5.33298,57.4,"chromosome:NZ_CP022023.1/CP022023.1",,1,4899,"2017-06-27T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/209/405/GCA_002209405.1_ASM220940v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/209/405/GCF_002209405.1_ASM220940v1"
"Klebsiella pneumoniae","Bacteria;Proteobacteria;Gammaproteobacteria","33","SAMN10390469","PRJNA503964","GCA_011065365.1","Complete",5.48164,57.2412,"chromosome:NZ_CP034321.1/CP034321.1; plasmid pK033_1:NZ_CP034322.1/CP034322.1",,2,5232,"2020-03-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/065/365/GCA_011065365.1_ASM1106536v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/065/365/GCF_011065365.1_ASM1106536v1"
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","SMN197SH3","SAMN07767837","PRJNA412521","GCA_002863665.1","Complete",5.4117,50.5792,"chromosome:NZ_CP024056.1/CP024056.1; plasmid pO177A3:NZ_CP024055.1/CP024055.1; plasmid pO177B3:NZ_CP024054.1/CP024054.1; plasmid pO177C3:NZ_CP024053.1/CP024053.1",,4,4989,"2018-01-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/863/665/GCA_002863665.1_ASM286366v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/863/665/GCF_002863665.1_ASM286366v1"
"Klebsiella pneumoniae","Bacteria;Proteobacteria;Gammaproteobacteria","AR376","SAMN07291519","PRJNA316321","GCA_003074015.1","Complete",5.67566,57.1088,"chromosome:NZ_CP029137.1/CP029137.1; plasmid unnamed1:NZ_CP029135.1/CP029135.1; plasmid unnamed2:NZ_CP029136.1/CP029136.1; plasmid unnamed3:NZ_CP029138.1/CP029138.1; plasmid unnamed4:NZ_CP029139.1/CP029139.1",,5,5380,"2018-04-30T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/074/015/GCA_003074015.1_ASM307401v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/074/015/GCF_003074015.1_ASM307401v1"
"Klebsiella pneumoniae","Bacteria;Proteobacteria;Gammaproteobacteria","Kp_Goe_39795","SAMN05412810","PRJNA329409","GCA_001902395.1","Complete",5.67652,56.9228,"chromosome:NZ_CP018458.1/CP018458.1; plasmid pKp_Goe_795-1:NZ_CP018460.1/CP018460.1; plasmid pKp_Goe_795-2:NZ_CP018461.1/CP018461.1; plasmid pKp_Goe_795-3:NZ_CP018462.1/CP018462.1; plasmid pKp_Goe_795-4:NZ_CP018459.1/CP018459.1",,5,5283,"2016-12-13T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/902/395/GCA_001902395.1_ASM190239v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/902/395/GCF_001902395.1_ASM190239v1"
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","2014C-3946","SAMN03024518","PRJNA218110","GCA_003017955.1","Complete",5.30526,50.6144,"chromosome:NZ_CP027344.1/CP027344.1; plasmid unnamed1:NZ_CP027345.1/CP027345.1; plasmid unnamed2:NZ_CP027346.1/CP027346.1",,3,4708,"2018-03-26T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/017/955/GCA_003017955.1_ASM301795v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/017/955/GCF_003017955.1_ASM301795v1"
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","RM13745","SAMN12822943","PRJNA573729","GCA_008761475.2","Complete",5.38041,50.9514,"chromosome:NZ_CP044312.1/CP044312.1; plasmid pRM13745-1:NZ_CP051654.1/CP051654.1; plasmid pRM13745-2:NZ_CP051655.1/CP051655.1",,3,4956,"2019-10-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/761/475/GCA_008761475.2_ASM876147v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/761/475/GCF_008761475.2_ASM876147v2"
"Klebsiella pneumoniae","Bacteria;Proteobacteria;Gammaproteobacteria","Bckp186","SAMN14487873","PRJNA616349","GCA_012167215.1","Complete",5.5533,57.1948,"chromosome:NZ_CP050843.1/CP050843.1; plasmid pBckp186:NZ_CP050844.1/CP050844.1",,2,5255,"2020-04-08T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/012/167/215/GCA_012167215.1_ASM1216721v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/012/167/215/GCF_012167215.1_ASM1216721v1"
"Klebsiella pneumoniae","Bacteria;Proteobacteria;Gammaproteobacteria","ST307PT01","SAMN07421000","PRJNA396106","GCA_003597755.1","Complete",5.61352,57.1662,"chromosome:NZ_CP022924.1/CP022924.1; plasmid pJYC01A:NZ_CP022926.1/CP022926.1; plasmid pJYC01B:NZ_CP022925.1/CP022925.1",,3,5307,"2018-09-26T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/597/755/GCA_003597755.1_ASM359775v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/597/755/GCF_003597755.1_ASM359775v1"
"Escherichia coli O55:H7 str. RM12579","Bacteria;Proteobacteria;Gammaproteobacteria","RM12579","SAMN02604278","PRJNA68245","GCA_000245515.1","Complete",5.44831,50.4328,"chromosome:NC_017656.1/CP003109.1; plasmid p12579_1:NC_017653.1/CP003110.1; plasmid p12579_2:NC_017657.1/CP003111.1; plasmid p12579_3:NC_017654.1/CP003112.1; plasmid p12579_4:NC_017658.1/CP003113.1; plasmid p12579_5:NC_017655.1/CP003114.1",,6,5001,"2012-02-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/245/515/GCA_000245515.1_ASM24551v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/245/515/GCF_000245515.1_ASM24551v1"
"Klebsiella pneumoniae","Bacteria;Proteobacteria;Gammaproteobacteria","AR_0160","SAMN04015001","PRJNA292902","GCA_003571585.1","Complete",5.54725,57.1739,"chromosome:NZ_CP032175.1/CP032175.1; plasmid unnamed1:NZ_CP032173.1/CP032173.1; plasmid unnamed2:NZ_CP032174.1/CP032174.1",,3,5258,"2018-09-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/571/585/GCA_003571585.1_ASM357158v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/571/585/GCF_003571585.1_ASM357158v1"
"Klebsiella pneumoniae UHKPC33","Bacteria;Proteobacteria;Gammaproteobacteria","UHKPC33","SAMN02142014","PRJNA187294","GCA_000417085.2","Complete",5.66312,57.1333,"chromosome:NZ_CP011989.1/CP011989.1; plasmid pUHKPC33-113.638kb:NZ_CP011991.1/CP011991.1; plasmid pUHKPC33-13.841kb:NZ_CP011993.1/CP011993.1; plasmid pUHKPC33-162.533kb:NZ_CP011990.1/CP011990.1; plasmid pUHKPC33-43.380kb:NZ_CP011992.1/CP011992.1",,5,5528,"2015-07-23T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/417/085/GCA_000417085.2_ASM41708v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/417/085/GCF_000417085.2_ASM41708v2"
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","Ecol_881","SAMN05511150","PRJNA316786","GCA_002012225.1","Complete",5.59755,50.4424,"chromosome:NZ_CP019029.1/CP019029.1; plasmid pEC881_1:NZ_CP019028.1/CP019028.1; plasmid pEC881_2:NZ_CP019027.1/CP019027.1; plasmid pEC881_4:NZ_CP019025.1/CP019025.1; plasmid pEC881_5:NZ_CP019024.1/CP019024.1; plasmid pEC881_6:NZ_CP019023.1/CP019023.1; plasmid pEC881_7:NZ_CP019022.1/CP019022.1; plasmid pEC881_8:NZ_CP019021.1/CP019021.1; plasmid pEC881_KPC:NZ_CP019026.1/CP019026.1",,9,5156,"2017-03-03T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/012/225/GCA_002012225.1_ASM201222v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/012/225/GCF_002012225.1_ASM201222v1"
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","DA33137","SAMN09245647","PRJNA472712","GCA_003180995.1","Complete",5.44187,50.651,"chromosome:NZ_CP029579.1/CP029579.1; plasmid pDA33137-178:NZ_CP029580.1/CP029580.1; plasmid pDA33137-2:NZ_CP029581.1/CP029581.1",,3,4971,"2018-05-31T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/180/995/GCA_003180995.1_ASM318099v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/180/995/GCF_003180995.1_ASM318099v1"
"Klebsiella pneumoniae HK787","Bacteria;Proteobacteria;Gammaproteobacteria","HK787","SAMN03274239","PRJNA217289","GCA_000813205.1","Complete",5.32939,57.5,"chromosome:NZ_CP006738.1/CP006738.1",,1,4960,"2015-01-02T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/813/205/GCA_000813205.1_ASM81320v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/813/205/GCF_000813205.1_ASM81320v1"
"Klebsiella pneumoniae","Bacteria;Proteobacteria;Gammaproteobacteria","ST307PT04","SAMN07421006","PRJNA396106","GCA_003597695.1","Complete",5.58454,57.202,"chromosome:NZ_CP022916.1/CP022916.1; plasmid pJYC04A:NZ_CP022917.1/CP022917.1; plasmid pJYC04B:NZ_CP022918.1/CP022918.1",,3,5316,"2018-09-26T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/597/695/GCA_003597695.1_ASM359769v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/597/695/GCF_003597695.1_ASM359769v1"
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","Ecol_542","SAMN05511186","PRJNA316786","GCA_002012025.1","Complete",5.39532,50.8423,"chromosome:NZ_CP018970.1/CP018970.1; plasmid pEC542_1:NZ_CP018969.1/CP018969.1; plasmid pEC542_3:NZ_CP018967.1/CP018967.1; plasmid pEC542_4:NZ_CP018966.1/CP018966.1; plasmid pEC542_KPC:NZ_CP018968.1/CP018968.1",,5,5048,"2017-03-03T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/012/025/GCA_002012025.1_ASM201202v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/012/025/GCF_002012025.1_ASM201202v1"
"Klebsiella pneumoniae","Bacteria;Proteobacteria;Gammaproteobacteria","ST307PT03","SAMN07421005","PRJNA396106","GCA_003597735.1","Complete",5.58476,57.2021,"chromosome:NZ_CP022919.1/CP022919.1; plasmid pJYC03A:NZ_CP022920.1/CP022920.1; plasmid pJYC03B:NZ_CP022921.1/CP022921.1",,3,5327,"2018-09-26T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/597/735/GCA_003597735.1_ASM359773v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/597/735/GCF_003597735.1_ASM359773v1"
"Klebsiella pneumoniae","Bacteria;Proteobacteria;Gammaproteobacteria","CAV1392","SAMN03024610","PRJNA246471","GCA_001022035.1","Complete",5.55249,57.2436,"chromosome:NZ_CP011578.1/CP011578.1; plasmid pCAV1392-131:NZ_CP011577.1/CP011577.1; plasmid pCAV1392-50:NZ_CP011576.1/CP011576.1; plasmid pKPC_CAV1392:NZ_CP011575.1/CP011575.1",,4,5263,"2015-06-09T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/022/035/GCA_001022035.1_ASM102203v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/022/035/GCF_001022035.1_ASM102203v1"
"Escherichia coli O104:H4","Bacteria;Proteobacteria;Gammaproteobacteria","FDAARGOS_348","SAMN06173361","PRJNA231221","GCA_002209105.2","Complete",5.44245,50.5423,"chromosome:NZ_CP022086.2/CP022086.2; plasmid unnamed1:NZ_CP022085.2/CP022085.2; plasmid unnamed2:NZ_CP022087.2/CP022087.2",,3,4974,"2017-06-27T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/209/105/GCA_002209105.2_ASM220910v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/209/105/GCF_002209105.2_ASM220910v2"
"Klebsiella pneumoniae","Bacteria;Proteobacteria;Gammaproteobacteria","AR_0148","SAMN04014989","PRJNA292902","GCA_002202255.1","Complete",5.79861,56.8151,"chromosome:NZ_CP021950.1/CP021950.1; plasmid tig00000168_pilon:NZ_CP021951.1/CP021951.1; plasmid tig00000169_pilon:NZ_CP021952.1/CP021952.1; plasmid tig00000185_pilon:NZ_CP021953.1/CP021953.1; plasmid tig00001025alt_u_pilon:NZ_CP021954.1/CP021954.1",,5,5471,"2017-06-20T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/202/255/GCA_002202255.1_ASM220225v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/202/255/GCF_002202255.1_ASM220225v1"
"Klebsiella pneumoniae","Bacteria;Proteobacteria;Gammaproteobacteria","CAV1453","SAMN03733793","PRJNA246471","GCA_001902255.1","Complete",5.59498,57.2856,"chromosome:NZ_CP018356.1/CP018356.1; plasmid pCAV1453-14:NZ_CP018353.1/CP018353.1; plasmid pCAV1453-208:NZ_CP018355.1/CP018355.1; plasmid pCAV1453-46:NZ_CP018354.1/CP018354.1",,4,5313,"2016-12-13T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/902/255/GCA_001902255.1_ASM190225v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/902/255/GCF_001902255.1_ASM190225v1"
"Escherichia coli O104:H4 str. 2009EL-2050","Bacteria;Proteobacteria;Gammaproteobacteria","2009EL-2050","SAMN01831189","PRJNA81097","GCA_000299255.1","Complete",5.43817,50.5424,"chromosome:NC_018650.1/CP003297.1; plasmid p09EL50:NC_018651.1/CP003298.1; plasmid pAA-09EL50:NC_018654.1/CP003299.1; plasmid pG-09EL50:NC_018652.1/CP003300.1",,4,4965,"2012-09-25T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/299/255/GCA_000299255.1_ASM29925v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/299/255/GCF_000299255.1_ASM29925v1"
"Klebsiella pneumoniae","Bacteria;Proteobacteria;Gammaproteobacteria","Bckp101","SAMN14487860","PRJNA616344","GCA_012167075.1","Complete",5.43162,57.1414,"chromosome:NZ_CP050840.1/CP050840.1; plasmid pBckp101-1:NZ_CP050841.1/CP050841.1; plasmid pBckp101-2:NZ_CP050842.1/CP050842.1",,3,5153,"2020-04-08T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/012/167/075/GCA_012167075.1_ASM1216707v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/012/167/075/GCF_012167075.1_ASM1216707v1"
"Escherichia coli E110019","Bacteria;Proteobacteria;Gammaproteobacteria","E110019","SAMN02435896","PRJNA15578","GCA_000167875.2","Complete",5.44571,50.7308,"chromosome:NZ_CP035751.1/CP035751.1; chromosome unnamed:NZ_CP035755.1/CP035755.1; plasmid pE110019_33:NZ_CP035754.1/CP035754.1; plasmid pE110019_5:NZ_CP035756.1/CP035756.1; plasmid pE110019_65:NZ_CP035753.1/CP035753.1; plasmid pE110019_66:NZ_CP035752.1/CP035752.1",,6,5029,"2019-02-08T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/167/875/GCA_000167875.2_ASM16787v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/167/875/GCF_000167875.2_ASM16787v2"
